ClientID,ClientStatus,Company,YearsAsCustomer
CLI-30216,Silver,Soylent Corp,7
CLI-30236,Gold,AcmeCorp,10
CLI-30243,Gold,Soylent Corp,20
CLI-30248,Silver,Cyberdyne,14
CLI-30354,Silver,Wayne Enterprises,12
CLI-30370,Platinum,Massive Dynamic,10
CLI-28026,Platinum,Initech,17
CLI-28041,Platinum,Umbrella,13
CLI-28053,Platinum,Soylent Corp,11
CLI-28054,Silver,Tyrell Corp,14
CLI-28063,Platinum,Soylent Corp,14
CLI-28064,Platinum,Massive Dynamic,13
CLI-28067,Silver,AcmeCorp,6
CLI-28083,Gold,Wonka Inc.,1
CLI-28098,Silver,Tyrell Corp,16
CLI-28068,Silver,Stark Industries,3
CLI-28096,Platinum,Cyberdyne,3
CLI-28101,Platinum,Cyberdyne,17
CLI-28105,Silver,Wonka Inc.,19
CLI-28146,Gold,Massive Dynamic,3
CLI-30195,Platinum,Globex,19
CLI-30235,Silver,Stark Industries,8
CLI-30283,Platinum,Stark Industries,17
CLI-30380,Gold,Soylent Corp,16
CLI-30057,Silver,Tyrell Corp,12
CLI-30122,Platinum,AcmeCorp,10
CLI-30157,Silver,AcmeCorp,15
CLI-30232,Gold,Cyberdyne,15
CLI-30258,Silver,Globex,1
CLI-30290,Silver,Soylent Corp,9
CLI-30319,Silver,Soylent Corp,16
CLI-30325,Silver,Initech,13
CLI-30394,Silver,Cyberdyne,2
CLI-30053,Silver,Cyberdyne,20
CLI-30066,Silver,Initech,15
CLI-30074,Silver,Wonka Inc.,12
CLI-30085,Silver,Wayne Enterprises,20
CLI-30108,Silver,Wayne Enterprises,13
CLI-30110,Silver,Cyberdyne,16
CLI-30126,Gold,AcmeCorp,15
CLI-30132,Silver,Wonka Inc.,13
CLI-28132,Silver,Umbrella,11
CLI-30063,Gold,Umbrella,3
CLI-30086,Gold,Initech,2
CLI-30088,Gold,AcmeCorp,19
CLI-30096,Gold,Stark Industries,1
CLI-30102,Gold,AcmeCorp,13
CLI-30136,Gold,AcmeCorp,5
CLI-30197,Platinum,Umbrella,10
CLI-28086,Gold,Umbrella,4
CLI-28115,Gold,Wayne Enterprises,12
CLI-28127,Gold,Umbrella,17
CLI-28149,Gold,Stark Industries,20
CLI-28155,Silver,Globex,11
CLI-30237,Silver,Wonka Inc.,12
CLI-30309,Gold,Soylent Corp,16
CLI-30321,Platinum,Initech,5
CLI-28009,Silver,Soylent Corp,4
CLI-28010,Silver,Initech,1
CLI-28011,Platinum,Cyberdyne,10
CLI-28012,Silver,Globex,1
CLI-28013,Platinum,Tyrell Corp,8
CLI-28014,Gold,Wayne Enterprises,18
CLI-28015,Silver,Umbrella,11
CLI-28016,Silver,Massive Dynamic,1
CLI-28017,Gold,Initech,7
CLI-28019,Platinum,Cyberdyne,13
CLI-28020,Platinum,Tyrell Corp,10
CLI-28021,Silver,Umbrella,18
CLI-28022,Platinum,Wonka Inc.,13
CLI-28024,Gold,Cyberdyne,11
CLI-28027,Gold,Stark Industries,14
CLI-28028,Silver,Wayne Enterprises,13
CLI-28029,Gold,Stark Industries,12
CLI-28030,Silver,Tyrell Corp,1
CLI-28033,Gold,Cyberdyne,18
CLI-28034,Silver,Wonka Inc.,16
CLI-28035,Silver,Wonka Inc.,5
CLI-28038,Silver,Globex,5
CLI-28040,Gold,Tyrell Corp,19
CLI-28043,Silver,Wonka Inc.,15
CLI-28047,Platinum,Wonka Inc.,12
CLI-28049,Silver,Massive Dynamic,5
CLI-28052,Gold,Stark Industries,12
CLI-28055,Silver,Umbrella,13
CLI-28056,Platinum,Wonka Inc.,1
CLI-28059,Gold,AcmeCorp,11
CLI-28060,Platinum,Soylent Corp,18
CLI-28061,Platinum,Stark Industries,5
CLI-28062,Platinum,Wonka Inc.,14
CLI-28065,Platinum,Soylent Corp,18
CLI-28066,Gold,Stark Industries,9
CLI-28070,Silver,Initech,5
CLI-28072,Gold,Initech,4
CLI-28073,Gold,Cyberdyne,3
CLI-28074,Platinum,AcmeCorp,3
CLI-28075,Silver,Soylent Corp,18
CLI-28076,Platinum,Initech,18
CLI-28079,Gold,Massive Dynamic,18
CLI-28080,Silver,Tyrell Corp,19
CLI-28081,Silver,Wayne Enterprises,2
CLI-28082,Silver,Soylent Corp,14
CLI-28084,Silver,Globex,6
CLI-28087,Platinum,AcmeCorp,13
CLI-28088,Silver,Soylent Corp,15
CLI-28090,Gold,Wayne Enterprises,10
CLI-28091,Platinum,Wayne Enterprises,6
CLI-28092,Platinum,Globex,20
CLI-28093,Platinum,Umbrella,18
CLI-28094,Silver,Massive Dynamic,13
CLI-28095,Platinum,Massive Dynamic,1
CLI-28097,Platinum,Stark Industries,7
CLI-28099,Silver,Stark Industries,3
CLI-28100,Platinum,Tyrell Corp,15
CLI-28102,Gold,Stark Industries,3
CLI-28103,Silver,Initech,19
CLI-28104,Platinum,Tyrell Corp,19
CLI-28106,Silver,AcmeCorp,14
CLI-28108,Silver,Wayne Enterprises,13
CLI-28109,Silver,Wonka Inc.,4
CLI-28110,Gold,Stark Industries,5
CLI-28112,Silver,Tyrell Corp,13
CLI-28113,Gold,Soylent Corp,7
CLI-28114,Platinum,AcmeCorp,11
CLI-28116,Platinum,AcmeCorp,2
CLI-28117,Gold,Wonka Inc.,12
CLI-28119,Platinum,Umbrella,9
CLI-28121,Platinum,Umbrella,7
CLI-28123,Gold,AcmeCorp,8
CLI-28124,Silver,Soylent Corp,15
CLI-28125,Platinum,Massive Dynamic,12
CLI-28126,Silver,Massive Dynamic,1
CLI-28128,Gold,AcmeCorp,19
CLI-28129,Gold,Soylent Corp,2
CLI-28130,Platinum,Wayne Enterprises,7
CLI-28133,Platinum,AcmeCorp,14
CLI-28135,Silver,AcmeCorp,15
CLI-28136,Platinum,Umbrella,18
CLI-28137,Gold,Stark Industries,18
CLI-28139,Platinum,Wonka Inc.,6
CLI-28141,Platinum,Initech,15
CLI-28142,Gold,Globex,8
CLI-28143,Silver,Wayne Enterprises,18
CLI-28144,Platinum,Massive Dynamic,4
CLI-28145,Silver,AcmeCorp,3
CLI-28147,Silver,Tyrell Corp,18
CLI-28148,Silver,Umbrella,11
CLI-28150,Silver,Soylent Corp,5
CLI-28151,Platinum,Wonka Inc.,7
CLI-28152,Gold,Stark Industries,5
CLI-28153,Platinum,Tyrell Corp,20
CLI-28154,Platinum,Stark Industries,6
CLI-28157,Gold,Umbrella,12
CLI-29603,Silver,AcmeCorp,6
CLI-30047,Silver,AcmeCorp,19
CLI-30051,Silver,Cyberdyne,15
CLI-30056,Platinum,Stark Industries,6
CLI-30058,Gold,Initech,13
CLI-30059,Gold,Globex,14
CLI-30060,Gold,Wonka Inc.,11
CLI-30061,Silver,Cyberdyne,6
CLI-30062,Gold,AcmeCorp,4
CLI-30064,Silver,Soylent Corp,3
CLI-30065,Platinum,Initech,2
CLI-30067,Silver,Massive Dynamic,8
CLI-30068,Platinum,Wayne Enterprises,4
CLI-30069,Silver,Soylent Corp,3
CLI-30070,Platinum,Initech,5
CLI-30071,Silver,Stark Industries,9
CLI-30072,Platinum,AcmeCorp,20
CLI-30073,Platinum,Umbrella,4
CLI-30075,Silver,Umbrella,4
CLI-30076,Platinum,Tyrell Corp,4
CLI-30077,Silver,Umbrella,15
CLI-30078,Gold,Initech,7
CLI-30079,Platinum,Umbrella,19
CLI-30080,Silver,Wayne Enterprises,2
CLI-30081,Silver,Umbrella,11
CLI-30082,Platinum,Globex,19
CLI-30083,Silver,Tyrell Corp,19
CLI-30084,Platinum,Globex,13
CLI-30087,Platinum,AcmeCorp,1
CLI-30089,Silver,Massive Dynamic,14
CLI-30090,Gold,Globex,11
CLI-30091,Platinum,Cyberdyne,18
CLI-30092,Silver,Wonka Inc.,18
CLI-30093,Platinum,Initech,6
CLI-30094,Platinum,Globex,10
CLI-30095,Platinum,Soylent Corp,16
CLI-30097,Silver,Globex,15
CLI-30098,Platinum,Soylent Corp,1
CLI-30099,Platinum,Massive Dynamic,10
CLI-30100,Platinum,Wayne Enterprises,2
CLI-30101,Platinum,Umbrella,11
CLI-30103,Gold,Cyberdyne,3
CLI-30104,Platinum,Stark Industries,20
CLI-30105,Silver,Massive Dynamic,11
CLI-30106,Platinum,Soylent Corp,18
CLI-30107,Silver,Globex,11
CLI-30109,Platinum,Wonka Inc.,7
CLI-30111,Silver,Cyberdyne,12
CLI-30112,Silver,Cyberdyne,5
CLI-30113,Gold,Cyberdyne,11
CLI-30114,Gold,Stark Industries,19
CLI-30115,Platinum,Stark Industries,5
CLI-30116,Gold,Wonka Inc.,14
CLI-30117,Silver,Globex,20
CLI-30118,Silver,Wayne Enterprises,3
CLI-30119,Platinum,Wonka Inc.,13
CLI-30121,Platinum,Globex,4
CLI-30123,Platinum,Wonka Inc.,13
CLI-30124,Platinum,Globex,14
CLI-30125,Silver,Initech,15
CLI-30127,Platinum,AcmeCorp,8
CLI-30129,Gold,Wonka Inc.,18
CLI-30130,Gold,Globex,19
CLI-30131,Platinum,Wayne Enterprises,5
CLI-30134,Gold,Cyberdyne,12
CLI-30135,Silver,Stark Industries,4
CLI-30137,Platinum,AcmeCorp,6
CLI-30138,Platinum,Massive Dynamic,7
CLI-30139,Silver,Cyberdyne,20
CLI-30140,Gold,Tyrell Corp,18
CLI-30141,Platinum,Tyrell Corp,11
CLI-30142,Gold,Wonka Inc.,1
CLI-30143,Gold,AcmeCorp,15
CLI-30144,Gold,Globex,11
CLI-30145,Gold,AcmeCorp,3
CLI-30146,Silver,Stark Industries,7
CLI-30148,Silver,Wayne Enterprises,6
CLI-30149,Gold,Stark Industries,19
CLI-30150,Silver,Tyrell Corp,11
CLI-30151,Platinum,Initech,2
CLI-30152,Silver,Globex,9
CLI-30153,Silver,Soylent Corp,3
CLI-30154,Platinum,Cyberdyne,10
CLI-30156,Silver,Stark Industries,3
CLI-30158,Platinum,Wayne Enterprises,11
CLI-30159,Gold,Soylent Corp,18
CLI-30160,Gold,Stark Industries,14
CLI-30162,Platinum,Cyberdyne,14
CLI-30163,Gold,Wonka Inc.,15
CLI-30164,Silver,Massive Dynamic,16
CLI-30165,Gold,Tyrell Corp,5
CLI-30166,Gold,Soylent Corp,7
CLI-30167,Silver,AcmeCorp,8
CLI-30169,Platinum,Stark Industries,9
CLI-30171,Gold,Globex,15
CLI-30173,Silver,Stark Industries,2
CLI-30174,Silver,Massive Dynamic,13
CLI-30175,Gold,Soylent Corp,6
CLI-30176,Gold,Tyrell Corp,20
CLI-30177,Silver,Stark Industries,10
CLI-30178,Gold,Cyberdyne,3
CLI-30179,Platinum,Globex,19
CLI-30181,Silver,Umbrella,17
CLI-30182,Silver,Stark Industries,4
CLI-30183,Platinum,AcmeCorp,20
CLI-30184,Platinum,Soylent Corp,3
CLI-30185,Silver,Wonka Inc.,20
CLI-30186,Gold,Soylent Corp,19
CLI-30187,Gold,Wayne Enterprises,15
CLI-30188,Platinum,AcmeCorp,15
CLI-30189,Silver,Wayne Enterprises,1
CLI-30190,Silver,Soylent Corp,14
CLI-30191,Silver,Umbrella,3
CLI-30192,Silver,AcmeCorp,5
CLI-30193,Gold,Umbrella,17
CLI-30194,Gold,Soylent Corp,10
CLI-30196,Silver,Massive Dynamic,9
CLI-30198,Silver,Soylent Corp,14
CLI-30199,Platinum,Globex,11
CLI-30200,Silver,Stark Industries,12
CLI-30201,Platinum,Soylent Corp,5
CLI-30202,Platinum,Massive Dynamic,16
CLI-30203,Platinum,Umbrella,9
CLI-30205,Platinum,Tyrell Corp,9
CLI-30206,Silver,Wayne Enterprises,7
CLI-30207,Gold,Cyberdyne,20
CLI-30208,Gold,Wayne Enterprises,7
CLI-30209,Silver,Stark Industries,18
CLI-30210,Silver,Umbrella,20
CLI-30211,Platinum,Wayne Enterprises,5
CLI-30213,Platinum,Initech,1
CLI-30214,Gold,Globex,7
CLI-30215,Platinum,Tyrell Corp,14
CLI-30217,Platinum,Cyberdyne,2
CLI-30218,Gold,Wayne Enterprises,14
CLI-30219,Platinum,Umbrella,17
CLI-30220,Gold,Cyberdyne,7
CLI-30221,Platinum,Stark Industries,3
CLI-30222,Gold,Tyrell Corp,2
CLI-30223,Platinum,Soylent Corp,20
CLI-30224,Gold,Stark Industries,10
CLI-30225,Gold,Initech,3
CLI-30226,Silver,Stark Industries,20
CLI-30227,Gold,Umbrella,6
CLI-30228,Platinum,Cyberdyne,9
CLI-30229,Platinum,Globex,16
CLI-30230,Platinum,Cyberdyne,15
CLI-30231,Silver,AcmeCorp,9
CLI-30233,Platinum,Wayne Enterprises,9
CLI-30234,Silver,Cyberdyne,13
CLI-30238,Platinum,Stark Industries,6
CLI-30239,Platinum,AcmeCorp,20
CLI-30241,Platinum,Stark Industries,19
CLI-30242,Platinum,Tyrell Corp,11
CLI-30244,Silver,Wayne Enterprises,15
CLI-30245,Silver,Stark Industries,8
CLI-30246,Gold,Globex,9
CLI-30247,Gold,Globex,7
CLI-30249,Platinum,Wayne Enterprises,5
CLI-30250,Gold,AcmeCorp,19
CLI-30252,Platinum,Umbrella,20
CLI-30253,Gold,Massive Dynamic,17
CLI-30254,Platinum,Stark Industries,20
CLI-30255,Silver,Globex,10
CLI-30256,Platinum,AcmeCorp,19
CLI-30257,Silver,Soylent Corp,10
CLI-30260,Silver,Stark Industries,16
CLI-30261,Platinum,Umbrella,15
CLI-30262,Platinum,Stark Industries,20
CLI-30263,Silver,Stark Industries,3
CLI-30264,Gold,Stark Industries,7
CLI-30265,Silver,Umbrella,5
CLI-30266,Platinum,Stark Industries,13
CLI-30267,Platinum,Massive Dynamic,4
CLI-30268,Platinum,Soylent Corp,10
CLI-30269,Gold,Initech,11
CLI-30270,Silver,Wayne Enterprises,8
CLI-30271,Platinum,Tyrell Corp,17
CLI-30272,Silver,Soylent Corp,11
CLI-30274,Platinum,Soylent Corp,2
CLI-30275,Silver,Initech,18
CLI-30276,Silver,AcmeCorp,17
CLI-30277,Platinum,AcmeCorp,18
CLI-30278,Silver,Wayne Enterprises,13
CLI-30279,Silver,Umbrella,11
CLI-30280,Gold,Tyrell Corp,3
CLI-30281,Platinum,Wonka Inc.,19
CLI-30282,Platinum,Initech,1
CLI-30284,Platinum,Wayne Enterprises,18
CLI-30285,Silver,Tyrell Corp,13
CLI-30286,Silver,Cyberdyne,1
CLI-30287,Gold,Umbrella,18
CLI-30288,Silver,Wonka Inc.,17
CLI-30289,Platinum,Wonka Inc.,3
CLI-30291,Silver,Wayne Enterprises,3
CLI-30292,Platinum,Tyrell Corp,5
CLI-30293,Platinum,Stark Industries,18
CLI-30294,Platinum,Umbrella,16
CLI-30295,Silver,Tyrell Corp,17
CLI-30296,Platinum,Soylent Corp,7
CLI-30297,Silver,Cyberdyne,2
CLI-30298,Silver,AcmeCorp,1
CLI-30299,Platinum,Tyrell Corp,17
CLI-30300,Gold,Tyrell Corp,13
CLI-30301,Platinum,Massive Dynamic,11
CLI-30302,Silver,Soylent Corp,16
CLI-30304,Platinum,Soylent Corp,17
CLI-30305,Silver,Cyberdyne,12
CLI-30306,Gold,AcmeCorp,17
CLI-30307,Silver,Soylent Corp,2
CLI-30308,Gold,Stark Industries,2
CLI-30310,Gold,Globex,1
CLI-30311,Platinum,Cyberdyne,15
CLI-30312,Platinum,Globex,9
CLI-30313,Silver,Massive Dynamic,12
CLI-30314,Silver,Umbrella,5
CLI-30315,Silver,Tyrell Corp,8
CLI-30316,Silver,Wonka Inc.,12
CLI-30317,Silver,Globex,20
CLI-30318,Platinum,Soylent Corp,5
CLI-30320,Silver,Cyberdyne,2
CLI-30323,Silver,Massive Dynamic,13
CLI-30326,Gold,Tyrell Corp,17
CLI-30327,Gold,AcmeCorp,14
CLI-30328,Platinum,Wayne Enterprises,16
CLI-30329,Silver,Globex,1
CLI-30330,Silver,Tyrell Corp,4
CLI-30331,Platinum,Cyberdyne,8
CLI-30332,Platinum,Soylent Corp,2
CLI-30333,Silver,Massive Dynamic,16
CLI-30334,Silver,Stark Industries,16
CLI-30335,Gold,Wonka Inc.,12
CLI-30336,Platinum,Massive Dynamic,13
CLI-30337,Gold,Wonka Inc.,4
CLI-30338,Platinum,Wayne Enterprises,17
CLI-30339,Gold,AcmeCorp,14
CLI-30340,Platinum,Initech,12
CLI-30341,Platinum,Umbrella,12
CLI-30342,Gold,Massive Dynamic,14
CLI-30343,Platinum,AcmeCorp,16
CLI-30344,Gold,Massive Dynamic,7
CLI-30345,Silver,Tyrell Corp,13
CLI-30346,Gold,Globex,8
CLI-30347,Platinum,Tyrell Corp,8
CLI-30348,Silver,Soylent Corp,15
CLI-30349,Gold,Stark Industries,11
CLI-30350,Gold,Initech,5
CLI-30351,Platinum,Wonka Inc.,14
CLI-30352,Platinum,AcmeCorp,2
CLI-30353,Platinum,Stark Industries,5
CLI-30355,Gold,Wonka Inc.,10
CLI-30357,Platinum,Initech,18
CLI-30358,Silver,Umbrella,2
CLI-30359,Gold,Wonka Inc.,3
CLI-30360,Platinum,Umbrella,10
CLI-30361,Platinum,Initech,15
CLI-30362,Silver,Massive Dynamic,17
CLI-30363,Silver,Soylent Corp,5
CLI-30364,Platinum,Wayne Enterprises,13
CLI-30365,Gold,Wonka Inc.,16
CLI-30366,Gold,Globex,17
CLI-30367,Gold,Stark Industries,3
CLI-30368,Platinum,Umbrella,16
CLI-30369,Silver,Wonka Inc.,5
CLI-30371,Platinum,Massive Dynamic,16
CLI-30372,Gold,Wonka Inc.,3
CLI-30373,Silver,Tyrell Corp,11
CLI-30374,Platinum,Umbrella,15
CLI-30376,Gold,Massive Dynamic,2
CLI-30378,Gold,Wayne Enterprises,2
CLI-30379,Gold,AcmeCorp,15
CLI-30381,Platinum,Massive Dynamic,4
CLI-30383,Gold,Wonka Inc.,3
CLI-30384,Silver,Wonka Inc.,16
CLI-30385,Silver,Massive Dynamic,9
CLI-30386,Gold,Umbrella,6
CLI-30387,Gold,Globex,4
CLI-30388,Silver,Stark Industries,18
CLI-30389,Platinum,Stark Industries,9
CLI-30390,Gold,Stark Industries,1
CLI-30391,Gold,Massive Dynamic,5
CLI-30392,Gold,Tyrell Corp,13
CLI-30393,Silver,Wayne Enterprises,18
CLI-30395,Gold,AcmeCorp,11
CLI-30396,Silver,Stark Industries,4
CLI-30398,Gold,Wayne Enterprises,4
CLI-30399,Gold,Wonka Inc.,17
CLI-33828,Silver,Stark Industries,7
CLI-33829,Platinum,Soylent Corp,20
CLI-27866,Silver,AcmeCorp,11
CLI-27867,Silver,Umbrella,11
CLI-27868,Platinum,Stark Industries,3
CLI-27870,Gold,Wonka Inc.,18
CLI-27871,Silver,Initech,16
CLI-27872,Gold,Wonka Inc.,10
CLI-27875,Gold,Wayne Enterprises,11
CLI-27876,Gold,Massive Dynamic,6
CLI-27882,Gold,Tyrell Corp,7
CLI-27884,Silver,AcmeCorp,2
CLI-27886,Platinum,Umbrella,11
CLI-27887,Silver,Stark Industries,5
CLI-27889,Platinum,Globex,1
CLI-27890,Platinum,Globex,6
CLI-27891,Silver,Soylent Corp,5
CLI-27892,Silver,Stark Industries,7
CLI-27893,Gold,Umbrella,17
CLI-27894,Gold,Soylent Corp,16
CLI-27895,Platinum,Initech,16
CLI-27899,Gold,Wayne Enterprises,3
CLI-27900,Platinum,Cyberdyne,17
CLI-27901,Gold,Initech,6
CLI-27903,Platinum,Massive Dynamic,19
CLI-27904,Platinum,Cyberdyne,13
CLI-27905,Platinum,Wayne Enterprises,13
CLI-27906,Gold,Soylent Corp,1
CLI-27907,Gold,Initech,15
CLI-27908,Gold,Globex,10
CLI-27912,Silver,Globex,18
CLI-27913,Platinum,AcmeCorp,9
CLI-27914,Gold,Tyrell Corp,18
CLI-27916,Silver,Wonka Inc.,1
CLI-27917,Platinum,Initech,2
CLI-27918,Platinum,Stark Industries,6
CLI-27919,Silver,Wayne Enterprises,13
CLI-27920,Gold,Stark Industries,11
CLI-27921,Gold,Initech,15
CLI-27922,Silver,Wayne Enterprises,8
CLI-27923,Platinum,Soylent Corp,4
CLI-27924,Gold,Wayne Enterprises,2
CLI-27925,Gold,Massive Dynamic,6
CLI-27926,Gold,Cyberdyne,3
CLI-27927,Silver,Wayne Enterprises,7
CLI-27928,Platinum,Tyrell Corp,4
CLI-27930,Gold,Stark Industries,5
CLI-27931,Silver,Umbrella,16
CLI-27933,Gold,AcmeCorp,5
CLI-27934,Gold,Umbrella,19
CLI-27935,Gold,Stark Industries,11
CLI-27937,Gold,Tyrell Corp,12
CLI-27938,Silver,Initech,16
CLI-27939,Gold,Soylent Corp,3
CLI-27943,Gold,Umbrella,10
CLI-27945,Gold,Wonka Inc.,16
CLI-27946,Platinum,Initech,3
CLI-27949,Silver,Globex,17
CLI-27950,Silver,AcmeCorp,9
CLI-27951,Gold,Globex,17
CLI-27952,Platinum,Tyrell Corp,12
CLI-27953,Platinum,Massive Dynamic,2
CLI-27957,Silver,Tyrell Corp,11
CLI-27958,Silver,Soylent Corp,18
CLI-27959,Platinum,Umbrella,20
CLI-27960,Silver,Massive Dynamic,3
CLI-27961,Gold,AcmeCorp,10
CLI-27966,Gold,Wayne Enterprises,4
CLI-27967,Platinum,Initech,7
CLI-27968,Platinum,Soylent Corp,7
CLI-27969,Gold,Wonka Inc.,3
CLI-27972,Silver,Globex,17
CLI-27973,Platinum,Stark Industries,2
CLI-27976,Gold,Soylent Corp,9
CLI-27977,Platinum,Massive Dynamic,8
CLI-27978,Gold,Wayne Enterprises,16
CLI-27979,Silver,Cyberdyne,20
CLI-27982,Silver,Cyberdyne,14
CLI-27984,Platinum,Massive Dynamic,6
CLI-27988,Silver,AcmeCorp,3
CLI-27989,Platinum,Soylent Corp,7
CLI-27990,Silver,Massive Dynamic,18
CLI-27991,Silver,Globex,8
CLI-27993,Silver,Tyrell Corp,6
CLI-27995,Silver,Umbrella,2
CLI-27996,Silver,Umbrella,16
CLI-27997,Silver,Massive Dynamic,15
CLI-27998,Silver,Wayne Enterprises,13
CLI-28000,Silver,AcmeCorp,2
CLI-28001,Platinum,Tyrell Corp,2
CLI-28003,Gold,Stark Industries,3
CLI-28004,Silver,Tyrell Corp,15
CLI-28005,Platinum,Wayne Enterprises,7
CLI-28006,Silver,Stark Industries,10
CLI-28008,Gold,Soylent Corp,14
CLI-29621,Platinum,Stark Industries,5
CLI-29627,Gold,Stark Industries,18
CLI-29635,Silver,Cyberdyne,8
CLI-29636,Platinum,Initech,1
CLI-29637,Silver,Tyrell Corp,2
CLI-29638,Gold,Umbrella,12
CLI-29641,Platinum,Initech,12
CLI-29642,Platinum,Tyrell Corp,7
CLI-29646,Gold,Umbrella,7
CLI-29649,Platinum,Initech,7
CLI-29650,Silver,Initech,7
CLI-29651,Platinum,Wonka Inc.,13
CLI-29652,Platinum,Initech,6
CLI-29654,Gold,Massive Dynamic,18
CLI-29657,Gold,Massive Dynamic,11
CLI-29659,Platinum,Tyrell Corp,10
CLI-29660,Gold,Wonka Inc.,7
CLI-29661,Gold,Tyrell Corp,4
CLI-29662,Gold,Initech,10
CLI-29663,Platinum,Initech,4
CLI-29667,Silver,Massive Dynamic,7
CLI-29669,Gold,Wayne Enterprises,8
CLI-29672,Gold,AcmeCorp,3
CLI-29673,Platinum,Soylent Corp,10
CLI-29675,Gold,Umbrella,18
CLI-29676,Gold,Wonka Inc.,15
CLI-29677,Silver,Wayne Enterprises,10
CLI-29685,Silver,Wayne Enterprises,6
CLI-29686,Silver,AcmeCorp,3
CLI-29687,Platinum,Tyrell Corp,14
CLI-29688,Silver,Stark Industries,14
CLI-29691,Platinum,Wonka Inc.,1
CLI-29695,Platinum,Wonka Inc.,19
CLI-29696,Silver,Wayne Enterprises,5
CLI-29697,Silver,Wonka Inc.,2
CLI-29701,Gold,Globex,5
CLI-29703,Platinum,AcmeCorp,1
CLI-29708,Silver,Massive Dynamic,19
CLI-29709,Silver,Soylent Corp,1
CLI-29710,Silver,Soylent Corp,11
CLI-29712,Platinum,Cyberdyne,18
CLI-29713,Gold,Globex,16
CLI-29716,Platinum,Globex,14
CLI-29719,Gold,Massive Dynamic,8
CLI-29720,Silver,Globex,12
CLI-29721,Platinum,Massive Dynamic,7
CLI-29724,Platinum,Tyrell Corp,14
CLI-29726,Gold,Umbrella,9
CLI-29727,Gold,Massive Dynamic,13
CLI-29732,Silver,Massive Dynamic,17
CLI-29739,Platinum,Umbrella,3
CLI-29740,Gold,Initech,18
CLI-29741,Silver,Initech,17
CLI-29745,Gold,Globex,2
CLI-29746,Silver,Wayne Enterprises,18
CLI-29748,Gold,Umbrella,6
CLI-29749,Platinum,Stark Industries,2
CLI-29750,Platinum,Stark Industries,6
CLI-29752,Platinum,Cyberdyne,12
CLI-29753,Silver,Soylent Corp,8
CLI-29755,Gold,Globex,4
CLI-29757,Gold,Stark Industries,6
CLI-29758,Platinum,Umbrella,2
CLI-29760,Platinum,Cyberdyne,19
CLI-29763,Platinum,AcmeCorp,16
CLI-29764,Silver,Wonka Inc.,5
CLI-29766,Silver,Wonka Inc.,3
CLI-29769,Silver,Massive Dynamic,12
CLI-29771,Platinum,Umbrella,9
CLI-29772,Silver,Globex,11
CLI-29773,Silver,AcmeCorp,11
CLI-29774,Silver,Globex,18
CLI-29775,Silver,Wayne Enterprises,2
CLI-29780,Gold,Massive Dynamic,20
CLI-29781,Gold,Globex,3
CLI-29782,Platinum,Wonka Inc.,11
CLI-29784,Gold,Globex,2
CLI-29785,Gold,Wayne Enterprises,9
CLI-29786,Platinum,Wayne Enterprises,2
CLI-29787,Gold,AcmeCorp,1
CLI-29788,Gold,Stark Industries,15
CLI-29789,Silver,Wayne Enterprises,1
