ApplicantID,EmployedWith,ProofOfIdentityProvided,NumberOfDependents
APP-28113,No,Yes,2
APP-28114,Yes,No,3
APP-28116,No,No,3
APP-28117,Yes,No,0
APP-28119,Yes,Yes,0
APP-28121,Yes,No,4
APP-28123,No,No,2
APP-28124,No,No,3
APP-28125,Yes,Yes,4
APP-28126,No,Yes,2
APP-28128,No,No,3
APP-28129,No,No,0
APP-28130,No,No,2
APP-28133,Yes,No,3
APP-28135,Yes,No,4
APP-28136,No,No,4
APP-28137,No,No,1
APP-28139,No,Yes,2
APP-28141,Yes,Yes,4
APP-28142,Yes,No,2
APP-28143,No,No,4
APP-28144,No,Yes,2
APP-28145,No,No,2
APP-28147,No,No,2
APP-28148,No,Yes,1
APP-28150,Yes,No,0
APP-28151,Yes,No,5
APP-28152,No,No,2
APP-28153,No,No,0
APP-28154,Yes,Yes,5
APP-28157,Yes,No,0
APP-29603,No,No,0
APP-30047,Yes,Yes,4
APP-30051,Yes,Yes,3
APP-30056,No,No,5
APP-30058,No,No,0
APP-30059,No,Yes,2
APP-30060,Yes,Yes,3
APP-30061,No,Yes,4
APP-30062,Yes,Yes,1
APP-30064,Yes,No,0
APP-30065,No,No,0
APP-30067,No,Yes,4
APP-30068,No,No,2
APP-30069,No,No,5
APP-30070,No,Yes,5
APP-30071,Yes,No,5
APP-30072,Yes,No,2
APP-30073,Yes,Yes,3
APP-30075,Yes,Yes,3
APP-30076,No,No,2
APP-30077,Yes,Yes,1
APP-30078,No,Yes,2
APP-30079,No,No,1
APP-30080,No,No,4
APP-30081,No,No,5
APP-30082,No,Yes,1
APP-30083,Yes,No,5
APP-30084,Yes,No,4
APP-30087,No,No,5
APP-30089,Yes,Yes,5
APP-30090,Yes,Yes,0
APP-30091,No,No,2
APP-30092,Yes,No,3
APP-30093,No,No,0
APP-30094,No,Yes,3
APP-30095,No,No,1
APP-30097,Yes,No,2
APP-30098,Yes,No,2
APP-30099,No,Yes,2
APP-30100,Yes,No,0
APP-30101,No,No,4
APP-30103,No,No,1
APP-30104,No,No,0
APP-30105,Yes,Yes,0
APP-30106,Yes,No,4
APP-30107,No,Yes,3
APP-30109,Yes,No,3
APP-30111,Yes,Yes,2
APP-30112,No,Yes,0
APP-30113,No,No,4
APP-30114,No,Yes,4
APP-30115,No,No,3
APP-30116,Yes,Yes,4
APP-30117,No,No,3
APP-30118,No,No,3
APP-30119,Yes,Yes,5
APP-30121,No,No,0
APP-30123,No,Yes,5
APP-30124,No,Yes,1
APP-30125,No,Yes,5
APP-30127,No,No,2
APP-30129,Yes,Yes,1
APP-30130,Yes,Yes,4
APP-30131,No,No,5
APP-30134,No,Yes,1
APP-30135,No,Yes,1
APP-30137,No,Yes,3
APP-30138,No,Yes,0
APP-30139,No,Yes,4
APP-30140,No,Yes,2
APP-30141,No,Yes,3
APP-30142,No,Yes,2
APP-30143,No,Yes,0
APP-30144,No,No,1
APP-30145,Yes,No,5
APP-30146,Yes,Yes,1
APP-30148,Yes,No,0
APP-30149,No,No,4
APP-30150,Yes,No,3
APP-30151,Yes,Yes,1
APP-30152,No,No,5
APP-30153,Yes,Yes,0
APP-30154,No,No,3
APP-30156,Yes,Yes,3
APP-30158,Yes,Yes,0
APP-30159,No,Yes,1
APP-30160,Yes,No,4
APP-30162,Yes,No,1
APP-30163,No,Yes,1
APP-30164,No,Yes,1
APP-30165,Yes,No,5
APP-30166,No,No,1
APP-30167,Yes,No,5
APP-30169,Yes,No,5
APP-30171,No,Yes,2
APP-30173,No,Yes,0
APP-30174,No,Yes,4
APP-30175,No,Yes,5
APP-30176,No,No,4
APP-30177,No,Yes,2
APP-30178,Yes,Yes,4
APP-30179,No,Yes,2
APP-30181,Yes,Yes,2
APP-30182,Yes,No,5
APP-30183,Yes,Yes,4
APP-30184,Yes,Yes,4
APP-30185,No,No,1
APP-30186,No,Yes,5
APP-30187,No,Yes,2
APP-30188,Yes,No,3
APP-30189,Yes,Yes,0
APP-30190,Yes,No,1
APP-30191,Yes,No,5
APP-30192,No,Yes,2
APP-30193,No,Yes,5
APP-30194,No,No,1
APP-30196,Yes,Yes,1
APP-30198,No,No,5
APP-30199,No,Yes,5
APP-30200,No,No,0
APP-30201,No,No,4
APP-30202,Yes,No,4
APP-30203,Yes,Yes,5
APP-30205,Yes,Yes,0
APP-30206,No,Yes,5
APP-30207,Yes,No,1
APP-30208,Yes,Yes,2
APP-30209,Yes,No,4
APP-30210,Yes,Yes,3
APP-30211,No,Yes,5
APP-30213,No,Yes,5
APP-30214,Yes,No,2
APP-30215,Yes,No,1
APP-30217,Yes,Yes,3
APP-30218,Yes,No,2
APP-30219,Yes,Yes,0
APP-30220,Yes,No,3
APP-30221,Yes,No,5
APP-30222,No,Yes,1
APP-30223,No,Yes,5
APP-30224,Yes,Yes,3
APP-30225,Yes,Yes,0
APP-30226,No,No,4
APP-30227,No,No,4
APP-30228,No,No,5
APP-30229,No,No,4
APP-30230,Yes,Yes,0
APP-30231,Yes,Yes,5
APP-30233,No,No,2
APP-30234,Yes,No,0
APP-30238,No,No,3
APP-30239,No,No,2
APP-30241,No,Yes,4
APP-30242,Yes,Yes,5
APP-30244,No,No,0
APP-30245,Yes,Yes,1
APP-30246,No,No,4
APP-30247,No,Yes,1
APP-30249,Yes,Yes,5
APP-30250,No,Yes,2
APP-30252,No,No,4
APP-30253,Yes,No,5
APP-30254,Yes,Yes,0
APP-30255,Yes,Yes,1
APP-30256,Yes,No,0
APP-30257,Yes,Yes,4
APP-30260,No,Yes,0
APP-30261,Yes,Yes,4
APP-30262,Yes,Yes,3
APP-30263,No,No,0
APP-30264,Yes,Yes,3
APP-30265,No,Yes,1
APP-30266,Yes,Yes,5
APP-30267,Yes,Yes,0
APP-30268,No,No,0
APP-30269,No,Yes,1
APP-30270,No,No,0
APP-30271,No,Yes,4
APP-30272,No,No,3
APP-30274,Yes,No,2
APP-30275,Yes,Yes,4
APP-30276,No,No,2
APP-30277,No,Yes,1
APP-30278,No,Yes,1
APP-30279,Yes,Yes,0
APP-30280,Yes,Yes,4
APP-30281,No,Yes,5
APP-30282,Yes,Yes,2
APP-30284,No,Yes,3
APP-30285,No,No,5
APP-30286,Yes,Yes,4
APP-30287,No,Yes,5
APP-30288,No,Yes,1
APP-30289,Yes,Yes,4
APP-30291,No,Yes,3
APP-30292,No,Yes,4
APP-30293,No,No,0
APP-30294,Yes,Yes,5
APP-30295,No,No,3
APP-30296,Yes,Yes,2
APP-30297,Yes,Yes,1
APP-30298,No,Yes,4
APP-30299,Yes,No,3
APP-30300,Yes,No,0
APP-30301,No,Yes,0
APP-30302,No,Yes,2
APP-30304,No,Yes,1
APP-30305,No,Yes,0
APP-30306,Yes,No,1
APP-30307,Yes,No,3
APP-30308,Yes,Yes,4
APP-30310,No,Yes,2
APP-30311,No,No,0
APP-30312,No,No,4
APP-30313,No,No,0
APP-30314,Yes,Yes,2
APP-30315,Yes,No,0
APP-30316,Yes,Yes,2
APP-30317,No,Yes,4
APP-30318,Yes,No,3
APP-30320,No,No,2
APP-30323,Yes,Yes,3
APP-30326,Yes,No,1
APP-30327,Yes,No,4
APP-30328,No,Yes,2
APP-30329,No,No,4
APP-30330,Yes,No,5
APP-30331,Yes,No,3
APP-30332,No,Yes,3
APP-30333,Yes,Yes,4
APP-30334,No,No,4
APP-30335,No,Yes,5
APP-30336,Yes,Yes,3
APP-30337,Yes,No,5
APP-30338,No,No,5
APP-30339,Yes,Yes,4
APP-30340,Yes,Yes,5
APP-30341,No,No,3
APP-30342,No,Yes,1
APP-30343,No,Yes,3
APP-30344,No,Yes,5
APP-30345,Yes,No,0
APP-30346,Yes,Yes,3
APP-30347,No,No,1
APP-30348,No,No,3
APP-30349,Yes,Yes,4
APP-30350,No,Yes,5
APP-30351,Yes,Yes,1
APP-30352,Yes,Yes,2
APP-30353,Yes,Yes,3
APP-30355,Yes,No,4
APP-30357,Yes,Yes,2
APP-30358,Yes,No,2
APP-30359,Yes,No,2
APP-30360,No,Yes,0
APP-30361,No,Yes,5
APP-30362,No,No,4
APP-30363,No,No,0
APP-30364,Yes,No,4
APP-30365,Yes,Yes,4
APP-30366,No,No,5
APP-30367,Yes,Yes,1
APP-30368,No,Yes,2
APP-30369,Yes,Yes,3
APP-30371,No,Yes,1
APP-30372,Yes,No,3
APP-30373,No,Yes,5
APP-30374,No,No,2
APP-30376,No,No,4
APP-30378,Yes,No,5
APP-30379,No,Yes,1
APP-30381,No,No,0
APP-30383,No,Yes,4
APP-30384,No,No,5
APP-30385,No,No,0
APP-30386,Yes,Yes,4
APP-30387,No,Yes,4
APP-30388,No,No,2
APP-30389,No,No,1
APP-30390,Yes,Yes,5
APP-30391,Yes,Yes,5
APP-30392,No,Yes,5
APP-30393,No,No,3
APP-30395,Yes,Yes,2
APP-30396,No,No,3
APP-30398,Yes,No,4
APP-30399,Yes,No,0
APP-33828,Yes,No,3
APP-33829,Yes,Yes,0
APP-27866,No,Yes,3
APP-27867,Yes,Yes,0
APP-27868,No,Yes,2
APP-27870,No,Yes,3
APP-27871,No,No,2
APP-27872,No,No,2
APP-27875,Yes,Yes,0
APP-27876,No,Yes,3
APP-27882,No,Yes,3
APP-27884,Yes,No,1
APP-27886,No,No,0
APP-27887,No,Yes,3
APP-27889,No,No,4
APP-27890,No,Yes,1
APP-27891,No,Yes,3
APP-27892,Yes,Yes,0
APP-27893,No,No,5
APP-27894,No,Yes,4
APP-27895,Yes,Yes,3
APP-27899,Yes,Yes,2
APP-27900,Yes,Yes,2
APP-27901,No,No,4
APP-27903,No,Yes,4
APP-27904,Yes,No,4
APP-27905,No,Yes,4
APP-27906,Yes,Yes,0
APP-27907,No,Yes,2
APP-27908,No,Yes,3
APP-27912,No,Yes,3
APP-27913,Yes,Yes,2
APP-27914,Yes,No,3
APP-27916,Yes,No,5
APP-27917,Yes,No,2
APP-27918,No,Yes,5
APP-27919,No,Yes,5
APP-27920,No,Yes,1
APP-27921,No,No,2
APP-27922,No,No,3
APP-27923,No,No,1
APP-27924,No,Yes,3
APP-27925,No,Yes,0
APP-27926,Yes,Yes,5
APP-27927,Yes,Yes,3
APP-27928,Yes,Yes,1
APP-27930,No,Yes,2
APP-27931,No,Yes,3
APP-27933,Yes,Yes,2
APP-27934,No,Yes,3
APP-27935,No,No,4
APP-27937,Yes,Yes,5
APP-27938,Yes,Yes,3
APP-27939,No,No,5
APP-27943,No,No,4
APP-27945,No,Yes,3
APP-27946,No,No,3
APP-27949,No,Yes,4
APP-27950,No,Yes,5
APP-27951,No,Yes,5
APP-27952,No,Yes,0
APP-27953,Yes,No,2
APP-27957,Yes,Yes,1
APP-27958,Yes,Yes,5
APP-27959,No,No,5
APP-27960,No,Yes,3
APP-27961,No,No,1
APP-27966,Yes,Yes,0
APP-27967,Yes,Yes,3
APP-27968,Yes,Yes,4
APP-27969,Yes,No,4
APP-27972,No,No,3
APP-27973,Yes,Yes,4
APP-27976,Yes,Yes,0
APP-27977,No,No,2
APP-27978,Yes,No,2
APP-27979,No,No,0
APP-27982,No,Yes,4
APP-27984,Yes,No,2
APP-27988,No,Yes,4
APP-27989,No,No,4
APP-27990,No,Yes,1
APP-27991,Yes,No,5
APP-27993,No,Yes,2
APP-27995,Yes,No,4
APP-27996,Yes,No,1
APP-27997,Yes,No,0
APP-27998,No,No,5
APP-28000,Yes,No,2
APP-28001,Yes,No,0
APP-28003,No,Yes,0
APP-28004,Yes,Yes,5
APP-28005,Yes,No,5
APP-28006,Yes,No,3
APP-28008,Yes,Yes,2
APP-29621,Yes,No,0
APP-29627,Yes,Yes,5
APP-29635,No,Yes,0
APP-29636,Yes,No,0
APP-29637,Yes,No,4
APP-29638,No,No,2
APP-29641,Yes,No,2
APP-29642,No,Yes,2
APP-29646,Yes,Yes,2
APP-29649,Yes,No,2
APP-29650,Yes,No,0
APP-29651,Yes,Yes,1
APP-29652,Yes,No,3
APP-29654,Yes,No,2
APP-29657,Yes,No,4
APP-29659,Yes,No,1
APP-29660,Yes,Yes,4
APP-29661,Yes,Yes,0
APP-29662,Yes,No,5
APP-29663,No,No,3
APP-29667,No,Yes,0
APP-29669,Yes,No,0
APP-29672,No,No,5
APP-29673,No,Yes,2
APP-29675,Yes,No,5
APP-29676,No,Yes,5
APP-29677,No,Yes,4
APP-29685,Yes,No,2
APP-29686,Yes,Yes,0
APP-29687,No,Yes,3
APP-29688,No,No,1
APP-29691,Yes,No,0
APP-29695,Yes,Yes,0
APP-29696,Yes,Yes,0
APP-29697,Yes,Yes,4
APP-29701,No,No,1
APP-29703,Yes,Yes,3
APP-29708,Yes,Yes,0
APP-29709,No,Yes,1
APP-29710,Yes,Yes,0
APP-29712,Yes,Yes,5
APP-29713,No,Yes,1
APP-29716,No,No,1
APP-29719,No,No,4
APP-29720,No,Yes,4
APP-29721,Yes,No,1
APP-29724,Yes,No,2
APP-29726,No,Yes,0
APP-29727,Yes,Yes,4
APP-29732,Yes,Yes,5
APP-29739,Yes,No,1
APP-29740,Yes,No,5
APP-29741,Yes,No,2
APP-29745,Yes,No,1
APP-29746,Yes,No,3
APP-29748,Yes,No,1
APP-29749,No,No,3
APP-29750,No,Yes,4
APP-29752,No,Yes,4
APP-29753,No,No,1
APP-29755,Yes,No,4
APP-29757,Yes,Yes,1
APP-29758,No,No,5
APP-29760,No,No,1
APP-29763,No,No,3
APP-29764,Yes,Yes,0
APP-29766,Yes,No,1
APP-29769,Yes,Yes,0
APP-29771,Yes,Yes,2
APP-29772,No,No,4
APP-29773,No,No,2
APP-29774,Yes,Yes,2
APP-29775,No,No,1
APP-29780,No,Yes,2
APP-29781,Yes,No,1
APP-29782,Yes,No,4
APP-29784,Yes,Yes,4
APP-29785,Yes,Yes,2
APP-29786,Yes,No,1
APP-29787,Yes,Yes,3
APP-29788,Yes,Yes,3
APP-29789,Yes,Yes,0
APP-29790,No,Yes,0
APP-29791,Yes,No,5
APP-29796,No,Yes,0
APP-29799,Yes,No,2
APP-29800,No,Yes,1
APP-29801,Yes,No,0
APP-29802,Yes,No,1
APP-29807,No,Yes,2
APP-29808,No,No,1
APP-29809,No,Yes,5
APP-29810,Yes,No,1
APP-29812,Yes,No,2
APP-29815,No,No,5
APP-29816,No,No,3
APP-29817,No,Yes,1
APP-29818,No,Yes,1
APP-29819,Yes,Yes,4
APP-29820,No,No,4
APP-29821,Yes,No,5
APP-29822,Yes,Yes,0
APP-29825,Yes,Yes,0
APP-29826,No,Yes,2
APP-29828,Yes,Yes,2
APP-29829,Yes,Yes,4
APP-29831,No,No,4
APP-29832,Yes,No,0
APP-29837,No,No,4
APP-29839,Yes,No,1
APP-29842,Yes,No,1
APP-29844,No,No,4
APP-29845,Yes,Yes,2
APP-29847,Yes,Yes,0
APP-29851,Yes,Yes,1
APP-29852,Yes,No,5
APP-29854,No,No,2
APP-29855,Yes,No,5
APP-29856,No,No,4
APP-29857,Yes,Yes,5
APP-29858,No,No,0
APP-29860,No,No,0
APP-29862,No,No,2
APP-29865,Yes,No,2
APP-29866,Yes,No,2
APP-29867,Yes,Yes,5
APP-29871,No,Yes,4
APP-29872,No,No,4
APP-29873,No,No,2
APP-29875,Yes,Yes,4
APP-29876,No,No,0
APP-29877,No,No,3
APP-29883,Yes,Yes,4
APP-29884,Yes,Yes,0
APP-29885,No,Yes,3
APP-29887,No,Yes,3
APP-29890,No,Yes,2
APP-29891,Yes,Yes,5
APP-29892,No,Yes,2
APP-29893,Yes,No,0
APP-29894,Yes,No,2
APP-29897,Yes,No,3
APP-29898,No,No,0
APP-29901,No,No,0
APP-29903,No,No,5
APP-29904,Yes,No,5
APP-29907,No,Yes,0
APP-29912,Yes,No,5
APP-29913,No,No,5
APP-29916,Yes,Yes,2
APP-29917,Yes,Yes,5
APP-29918,Yes,No,2
APP-29919,Yes,Yes,2
APP-29920,No,Yes,4
APP-29922,No,No,5
APP-29924,Yes,No,5
APP-29925,No,No,4
APP-29926,Yes,No,4
APP-29927,No,No,0
APP-29928,No,Yes,2
APP-29929,No,No,4
APP-29931,Yes,Yes,0
APP-29932,No,No,3
APP-29934,No,Yes,4
APP-29938,Yes,Yes,0
APP-29939,Yes,Yes,1
APP-29940,No,No,4
APP-29943,No,No,3
APP-29944,No,Yes,0
APP-29945,No,Yes,5
APP-29946,No,No,5
APP-29948,Yes,No,4
APP-29951,Yes,Yes,4
APP-29953,Yes,Yes,1
APP-29954,No,Yes,0
APP-29956,Yes,No,0
APP-29957,No,Yes,0
APP-29958,No,Yes,2
APP-29960,No,Yes,5
APP-29961,Yes,No,1
APP-29962,No,No,5
APP-29963,Yes,No,0
APP-29964,No,No,1
APP-29965,Yes,No,2
APP-29966,Yes,Yes,0
APP-29967,No,No,1
APP-29971,Yes,Yes,1
APP-29972,Yes,No,2
APP-29974,No,No,1
APP-29975,No,No,2
APP-29977,No,No,4
APP-29978,No,No,1
APP-29980,No,No,2
APP-29982,Yes,Yes,5
APP-29984,Yes,No,3
APP-29985,Yes,Yes,0
APP-29986,No,No,0
APP-29987,No,Yes,0
APP-29988,Yes,Yes,2
APP-29990,Yes,No,2
APP-29995,No,Yes,0
APP-29996,Yes,Yes,2
APP-29997,No,No,5
APP-29998,No,No,1
APP-30001,No,Yes,1
APP-30003,Yes,No,1
APP-30005,No,No,4
APP-30006,No,No,0
APP-30008,No,No,3
APP-30013,No,Yes,0
APP-30014,No,Yes,1
APP-30015,No,Yes,0
APP-30016,Yes,Yes,4
APP-30018,No,Yes,1
APP-30021,No,Yes,4
APP-30023,Yes,No,4
APP-30024,No,No,4
APP-30025,No,No,1
APP-30028,No,Yes,4
APP-30029,Yes,Yes,4
APP-30031,Yes,No,3
APP-30032,No,Yes,0
APP-30034,No,No,3
APP-30039,Yes,No,0
APP-30040,No,Yes,1
APP-29737,No,Yes,3
APP-29759,No,Yes,2
APP-29841,No,Yes,1
APP-29900,Yes,Yes,1
APP-29976,Yes,Yes,0
APP-30019,Yes,No,0
APP-30022,No,Yes,4
APP-30037,Yes,No,2
APP-29645,Yes,Yes,5
APP-29704,Yes,Yes,1
APP-29762,No,Yes,1
APP-29823,No,Yes,3
APP-29870,Yes,Yes,0
APP-29994,Yes,Yes,3
APP-30000,No,Yes,0
APP-30036,Yes,Yes,0
APP-29756,Yes,No,3
APP-29770,Yes,No,3
APP-29838,Yes,Yes,3
APP-29840,Yes,Yes,5
APP-29910,Yes,No,0
APP-29941,Yes,No,2
APP-29968,No,No,3
APP-30030,Yes,Yes,0
APP-27940,No,Yes,3
APP-27942,No,No,5
APP-27954,Yes,No,2
APP-29735,No,Yes,2
APP-29768,Yes,No,4
APP-29930,No,Yes,4
APP-29999,Yes,Yes,2
APP-30026,Yes,Yes,3
APP-29824,Yes,Yes,4
APP-29863,No,No,5
APP-29868,No,No,0
APP-29886,No,No,2
APP-29921,Yes,Yes,3
APP-29991,No,Yes,5
APP-29992,Yes,Yes,0
APP-30002,No,Yes,2
APP-27897,Yes,No,2
APP-29617,Yes,Yes,3
APP-29678,Yes,No,3
APP-29690,Yes,No,1
APP-29733,No,Yes,3
APP-29742,Yes,No,0
APP-29874,No,Yes,4
APP-29937,Yes,No,3
APP-29666,No,No,3
APP-29700,Yes,Yes,4
APP-29711,Yes,Yes,4
APP-29767,No,No,5
APP-29783,Yes,Yes,2
APP-29827,Yes,No,2
APP-29914,No,Yes,4
APP-29915,No,No,4
APP-27944,Yes,No,4
APP-27986,Yes,No,0
APP-27992,No,Yes,5
APP-29715,Yes,Yes,1
APP-29734,Yes,Yes,0
APP-29776,Yes,No,1
APP-29795,No,Yes,2
APP-29882,No,Yes,4
APP-29674,Yes,No,0
APP-29684,Yes,Yes,5
APP-29692,Yes,No,4
APP-29699,No,No,5
APP-29707,Yes,No,5
APP-29813,Yes,Yes,4
APP-29849,No,Yes,4
APP-29864,Yes,No,0
APP-27878,No,Yes,4
APP-27970,Yes,No,2
APP-27980,Yes,No,1
APP-29633,Yes,Yes,5
APP-29634,No,No,3
APP-29644,No,No,2
APP-29668,No,No,1
APP-29705,Yes,No,3
APP-27873,No,No,4
APP-27874,Yes,Yes,2
APP-27879,Yes,No,5
APP-27880,No,Yes,5
APP-27883,Yes,No,3
APP-27885,Yes,Yes,3
APP-27910,Yes,Yes,3
APP-27947,Yes,Yes,4
APP-27955,Yes,Yes,1
APP-27994,No,Yes,1
APP-28002,Yes,No,2
APP-29754,No,Yes,4
APP-29797,No,No,1
APP-29798,Yes,Yes,2
APP-29853,Yes,Yes,1
APP-30011,Yes,Yes,0
APP-30012,No,Yes,4
APP-27964,Yes,Yes,0
APP-27985,No,No,1
APP-29689,Yes,Yes,1
APP-29706,No,No,0
APP-29723,Yes,Yes,4
APP-29751,Yes,No,2
APP-29830,No,Yes,3
APP-29881,No,No,5
APP-29905,Yes,Yes,0
APP-30009,No,Yes,5
APP-27909,Yes,No,4
APP-27981,No,No,4
APP-27987,No,Yes,5
APP-29679,Yes,Yes,3
APP-29714,Yes,No,2
APP-29722,Yes,Yes,2
APP-29738,No,Yes,1
APP-29744,No,No,1
APP-29805,Yes,No,5
APP-29993,Yes,Yes,0
APP-28489,No,No,5
APP-28529,No,Yes,2
APP-28552,No,Yes,0
APP-28698,Yes,Yes,1
APP-28706,Yes,No,0
APP-28716,Yes,Yes,3
APP-28734,No,Yes,5
APP-28765,Yes,No,0
APP-28814,No,Yes,1
APP-28854,Yes,No,1
APP-28893,No,No,3
APP-28900,No,No,3
APP-28916,No,Yes,2
APP-28941,Yes,No,3
APP-28942,Yes,No,3
APP-29007,Yes,Yes,2
APP-29009,No,Yes,3
APP-29011,No,Yes,4
APP-29019,No,Yes,4
APP-29026,No,No,4
APP-29045,No,No,3
APP-29077,Yes,Yes,1
APP-29090,No,No,1
APP-29091,Yes,Yes,2
APP-29239,Yes,No,1
APP-29473,No,Yes,1
APP-29475,Yes,Yes,2
APP-29480,Yes,Yes,4
APP-29481,No,No,2
APP-29484,Yes,Yes,1
APP-29487,No,Yes,1
APP-29505,Yes,No,2
APP-29562,Yes,No,3
APP-29607,Yes,No,1
APP-30663,Yes,No,1
APP-30693,No,No,2
APP-30952,Yes,No,5
APP-31381,No,No,1
APP-31487,Yes,No,5
APP-31611,No,No,3
APP-31613,No,Yes,3
APP-31690,No,Yes,2
APP-31781,Yes,Yes,0
APP-31782,Yes,No,4
APP-31815,Yes,No,3
APP-31892,No,No,3
APP-31946,Yes,No,4
APP-32031,Yes,Yes,2
APP-32243,No,No,1
APP-32261,Yes,Yes,2
APP-32440,No,Yes,0
APP-32478,Yes,No,5
APP-32480,Yes,No,0
APP-32514,No,No,4
APP-32535,Yes,Yes,5
APP-32744,No,No,0
APP-32774,Yes,Yes,0
APP-32878,Yes,No,4
APP-32900,No,Yes,4
APP-32953,No,No,4
APP-33058,No,Yes,4
APP-33091,Yes,Yes,4
